Medical_Term,Frequency
hypertrophy,166
requested,166
inflammatory,166
hardware,166
know,166
underneath,166
accomplished,166
image,165
effect,165
lithotomy,165
labs,165
reportedly,165
palpitations,165
benefit,165
series,164
planned,164
doctor,164
cortical,164
december,164
saphenous,164
tibia,163
date,163
stitches,162
require,162
dysphagia,162
feeding,162
station,162
testis,162
rim,162
iron,162
iii,162
come,161
genitalia,161
injuries,161
platelets,161
despite,161
veress,161
thus,161
contents,161
transfer,160
sinuses,160
might,160
drawn,160
collateral,160
relatively,159
conduction,159
water,159
patch,159
tablets,159
safety,159
angioplasty,159
primarily,159
cava,159
maxillary,158
irregular,158
complained,158
birth,158
moderately,158
repaired,158
cystoscopy,158
esmarch,158
tsh,158
flank,157
generalized,157
spondylosis,157
evening,157
fine,157
loose,157
rotated,157
atrophy,157
scale,156
scrotal,156
prevent,156
neurovascular,156
works,156
aneurysm,156
hepatitis,156
nuclear,156
records,156
flaps,156
obese,156
injections,156
ovarian,156
wbc,155
pump,155
enlargement,155
reflex,155
seemed,155
stab,154
origin,154
ischemic,154
entry,154
radiculopathy,154
perforation,154
difficulties,153
quit,153
dvt,153
clearly,153
refill,153
tms,153
smooth,153
resting,153
herniation,153
freed,153
question,153
title,153
guidance,153
obesity,152
impacted,152
traction,152
fractures,152
young,152
covered,152
tonsil,152
constipation,151
capillary,151
tested,151
cigarettes,151
believe,151
obtaining,151
specific,151
probable,151
maternal,150
pmh,150
arms,150
portal,150
postop,150
dysfunction,150
cholesterol,150
baseline,150
fistula,150
different,149
analysis,149
cholecystectomy,149
beats,149
prophylaxis,149
concerns,149
dizziness,149
replaced,149
includes,149
parietal,149
name,149
gastroesophageal,149
tried,148
portions,148
percutaneous,148
aspirated,148
written,148
preoperatively,148
abnormality,148
lumbosacral,148
fallopian,148
mixture,147
compartment,147
mattress,147
perfusion,147
diabetic,147
tachycardia,147
laid,147
sweats,147
ointment,147
insufficiency,146
beginning,146
periosteum,145
nurse,145
elevator,145
eeg,145
clips,145
drinks,145
repeated,145
output,145
hallux,145
deflated,144
mayo,144
serial,144
endocrine,144
tender,144
directly,144
drugs,144
points,144
mobilized,144
subsequent,144
mandible,144
wheezes,144
successful,144
ulcer,143
cephalic,143
making,143
periosteal,143
thyromegaly,143
impairment,143
endoscope,143
fold,143
gauze,143
metatarsophalangeal,143
rales,143
mixed,142
ensure,142
concerned,142
causing,142
padded,142
surgeries,142
fentanyl,142
preserved,142
allograft,142
concern,141
bacitracin,141
inch,141
heard,141
fell,141
dilator,141
rapid,141
excessive,141
prescribed,141
membrane,141
lisinopril,141
ahead,141
suspicious,140
observation,140
purulent,140
cannulated,140
enough,140
seconds,140
duodenum,140
instilled,140
july,140
intensive,140
pin,140
bodies,140
pneumatic,139
frozen,139
prep,139
osteophytes,139
symptomatic,139
caliber,139
gets,139
documented,139
occlusion,138
particularly,138
transplant,138
articular,138
factors,138
lying,138
tonsillar,138
breasts,138
coronal,138
calf,137
score,137
signed,137
pouch,137
otitis,137
loop,137
laminectomy,137
direction,137
axial,137
pigtail,137
deepened,137
organomegaly,137
thrombosis,136
subdural,136
discuss,136
wanted,136
coming,136
oximetry,136
clots,136
event,136
obtuse,136
placenta,136
lip,136
meniscus,136
copd,135
strong,135
selective,135
platysma,135
compared,135
fingers,135
drilled,134
observed,134
comfortable,134
roll,134
wires,134
setting,134
plavix,134
together,134
gently,134
vicodin,134
tingling,134
intracranial,133
responses,133
laryngeal,133
penile,133
suggestive,133
dominant,133
eyelid,133
osteoarthritis,133
recall,133
corneal,132
cruciate,132
bur,132
interpretation,132
distribution,132
tricuspid,132
intercostal,132
adequately,132
vocal,132
decubitus,131
life,131
testicle,131
xii,131
markedly,131
quality,131
describes,131
attachments,131
basal,131
systemic,131
icu,131
arch,131
leak,131
etiology,131
verbal,130
craniotomy,130
holes,130
steroid,130
prognosis,130
identification,130
preparation,130
sore,130
profile,130
understanding,130
hct,130
recurrence,130
partially,130
bulging,130
kerlix,129
understands,129
split,129
maintain,129
brachial,129
june,129
acid,129
lamina,129
gradient,129
gas,129
approximate,128
albuterol,128
catheters,128
absent,128
look,128
reconstruction,128
fixed,128
medicine,128
cesarean,128
syncope,128
behind,128
dialysis,127
discontinued,127
groove,127
relief,127
liters,127
spinous,127
clinically,127
true,127
treatments,127
almost,127
intrauterine,126
tomorrow,126
fragment,126
shaft,126
endoscopic,126
aggressive,126
retraction,126
lap,126
suicidal,126
effects,126
window,126
thick,126
doubly,126
doses,126
drained,126
undergone,126
displaced,125
create,125
anatomic,125
encouraged,125
trace,125
step,125
assistance,125
shape,125
nonsmoker,125
index,125
administration,125
ace,125
cortex,125
infusion,125
cardiopulmonary,125
hypertrophic,125
heavy,125
expose,125
radical,124
aware,124
dementia,124
sustained,124
cva,124
stools,124
insufflated,124
calcification,123
alt,123
standing,123
find,123
trying,123
labor,123
desires,123
rebound,123
ptt,123
ulcers,123
piece,123
appendectomy,123
orthopedic,122
consulted,122
exploration,122
bile,122
stapler,122
nipple,122
team,122
tight,122
distraction,122
nasopharynx,122
top,122
isolated,122
assess,122
crease,122
preop,122
admits,122
hepatosplenomegaly,122
gradually,121
rupture,121
nodules,121
tonsils,121
scrotum,121
recommendation,121
digits,121
raised,121
topical,120
xxx,120
gallops,120
minor,120
tracheostomy,120
rather,120
november,120
adnexal,120
suprapubic,120
ice,120
fit,120
morphine,120
glenoid,119
earlier,119
fields,119
omentum,119
sternocleidomastoid,119
marrow,119
facility,119
curette,118
forward,118
dried,118
conscious,118
correction,118
distended,118
percussion,118
differential,118
filling,118
vault,118
surfaces,118
hallucinations,118
pass,118
far,118
extremely,118
become,117
endometrial,117
pharynx,117
matter,117
constitutional,117
debris,117
placing,117
revision,117
lack,117
job,117
implantation,117
debrided,117
son,117
notch,117
liquid,117
born,117
camera,117
pediatric,117
extraction,116
vertical,116
boy,116
stem,116
ancef,116
components,116
epigastric,116
certainly,116
velocity,116
fragments,116
dissect,116
normally,115
flexible,115
ethibond,115
longer,115
thickness,115
wide,115
infected,115
fibroid,115
conclusion,115
onto,115
eight,115
vas,115
instability,115
serum,115
seeing,115
jvd,115
seem,115
hiatal,115
protected,115
coughing,114
anything,114
august,114
splint,114
terms,114
canals,114
lady,114
rhonchi,114
allis,114
gallop,114
staff,114
cross,114
volar,114
expected,113
events,113
ounces,113
ast,113
gives,113
questionable,113
goal,113
demonstrate,113
determined,113
finding,113
receive,113
ankles,113
roots,113
frequently,113
moving,113
guarding,113
ischemia,113
conjunctiva,113
obturator,113
gut,112
solid,112
voice,112
hospitalized,112
laser,112
reading,112
widely,112
tenaculum,112
ostium,112
dural,112
tolerate,112
hair,112
hyperlipidemia,112
adenocarcinoma,112
kept,112
laparoscope,112
numerous,111
indicates,111
contour,111
worsened,111
trouble,111
things,111
postanesthesia,111
presence,111
conditions,111
meticulous,110
wished,110
instruments,110
quadrants,110
nares,110
coagulation,110
caused,110
rib,110
tracheal,110
formation,110
infraumbilical,110
candidate,110
tubal,110
bunion,110
january,110
diaphragm,110
swallow,110
laparotomy,110
usually,110
exertion,110
sample,109
attachment,109
digit,109
progressively,109
postoperatively,109
hold,109
waiting,109
move,109
growth,109
surgeon,109
confirm,109
kerrison,109
pad,109
bronchoscopy,109
arthroscopic,109
infections,109
anatomy,109
squamous,108
ileum,108
recheck,108
distention,108
carbohydrate,108
spaces,108
paroxysmal,108
caudal,108
october,108
condyle,108
gen,108
metoprolol,108
exudate,108
gram,107
suspected,107
fhx,107
stability,107
calculated,107
video,107
screening,106
dysarthria,106
peak,106
pectoralis,106
adenoid,106
skull,106
foraminal,106
mean,106
extra,106
slow,106
shx,105
assist,105
treat,105
calcified,105
operations,105
cycle,105
limb,105
fasting,105
tremor,105
pronator,105
stones,105
plans,105
adult,105
bronchus,105
intake,104
neoplasm,104
immunizations,104
humerus,104
explored,104
hemorrhoids,104
unclear,104
exposing,104
larger,104
tape,104
sometimes,104
fundus,103
coordination,103
panel,103
ovaries,103
processes,103
fair,103
gelfoam,103
respectively,103
sugar,103
hypothyroidism,103
hook,103
sternal,102
pulposus,102
leaving,102
leads,102
strap,102
